company,ticker,cik,fiscal_year,fiscal_period,period_start,period_end,revenue,revenue_tag,operating_income,operating_income_tag,total_debt,total_debt_tag,cash,cash_tag,subscribers,source_accn,source_form,filed_date,data_caveat
"Charter Communications, Inc.",CHTR,0001091667,2009,Q4,2009-10-01,2009-12-31,,,,,,,709000000.0,CashAndCashEquivalentsAtCarryingValue,,0001091667-13-000020,10-K,2013-02-22,
"Charter Communications, Inc.",CHTR,0001091667,2010,Q1,2010-01-01,2010-03-31,1735000000.0,Revenues,251000000.0,OperatingIncomeLoss,,,,,,0001091667-11-000085,10-Q,2011-05-03,
"Charter Communications, Inc.",CHTR,0001091667,2010,Q2,2010-04-01,2010-06-30,1771000000.0,Revenues,254000000.0,OperatingIncomeLoss,12620000000.0,LongTermDebtNoncurrent,166000000.0,CashAndCashEquivalentsAtCarryingValue,,0001091667-11-000105,10-Q/A,2011-08-02,
"Charter Communications, Inc.",CHTR,0001091667,2010,Q3,2010-07-01,2010-09-30,1769000000.0,Revenues,240000000.0,OperatingIncomeLoss,,,,,,0001091667-11-000140,10-Q,2011-11-01,
"Charter Communications, Inc.",CHTR,0001091667,2010,Q4,2010-10-01,2010-12-31,1784000000.0,derived:FY(Revenues)-Q1-Q3,279000000.0,derived:FY(OperatingIncomeLoss)-Q1-Q3,12306000000.0,LongTermDebt,4000000.0,CashAndCashEquivalentsAtCarryingValue,,0001091667-13-000020,10-K,2013-02-22,
"Charter Communications, Inc.",CHTR,0001091667,2011,Q1,2011-01-01,2011-03-31,1770000000.0,Revenues,269000000.0,OperatingIncomeLoss,12554000000.0,LongTermDebtNoncurrent,26000000.0,CashAndCashEquivalentsAtCarryingValue,,0001091667-13-000020,10-K,2013-02-22,
"Charter Communications, Inc.",CHTR,0001091667,2011,Q2,2011-04-01,2011-06-30,1791000000.0,Revenues,270000000.0,OperatingIncomeLoss,12620000000.0,LongTermDebt,166000000.0,CashAndCashEquivalentsAtCarryingValue,,0001091667-13-000020,10-K,2013-02-22,
"Charter Communications, Inc.",CHTR,0001091667,2011,Q3,2011-07-01,2011-09-30,1809000000.0,Revenues,237000000.0,OperatingIncomeLoss,12581000000.0,LongTermDebtNoncurrent,2000000.0,CashAndCashEquivalentsAtCarryingValue [RECAST],,0001091667-13-000020,10-K,2013-02-22,
"Charter Communications, Inc.",CHTR,0001091667,2011,Q4,2011-10-01,2011-12-31,1834000000.0,derived:FY(Revenues)-Q1-Q3,265000000.0,derived:FY(OperatingIncomeLoss)-Q1-Q3,12856000000.0,LongTermDebtNoncurrent,2000000.0,CashAndCashEquivalentsAtCarryingValue,,0001091667-14-000080,10-K,2014-02-21,
"Charter Communications, Inc.",CHTR,0001091667,2012,Q1,2012-01-01,2012-03-31,1827000000.0,Revenues,230000000.0,OperatingIncomeLoss,12802000000.0,LongTermDebtNoncurrent,4000000.0,CashAndCashEquivalentsAtCarryingValue,,0001091667-14-000080,10-K,2014-02-21,
"Charter Communications, Inc.",CHTR,0001091667,2012,Q2,2012-04-01,2012-06-30,1884000000.0,Revenues,269000000.0,OperatingIncomeLoss,12786000000.0,LongTermDebtNoncurrent,5000000.0,CashAndCashEquivalentsAtCarryingValue,,0001091667-14-000080,10-K,2014-02-21,
"Charter Communications, Inc.",CHTR,0001091667,2012,Q3,2012-07-01,2012-09-30,1880000000.0,Revenues,211000000.0,OperatingIncomeLoss,12820000000.0,LongTermDebtNoncurrent,868000000.0,CashAndCashEquivalentsAtCarryingValue,,0001091667-14-000080,10-K,2014-02-21,
"Charter Communications, Inc.",CHTR,0001091667,2012,Q4,2012-10-01,2012-12-31,1913000000.0,derived:FY(Revenues)-Q1-Q3,205000000.0,derived:FY(OperatingIncomeLoss)-Q1-Q3,12808000000.0,LongTermDebtNoncurrent,7000000.0,CashAndCashEquivalentsAtCarryingValue,,0001091667-15-000049,10-K,2015-02-24,
"Charter Communications, Inc.",CHTR,0001091667,2013,Q1,2013-01-01,2013-03-31,1917000000.0,Revenues,222000000.0,OperatingIncomeLoss,12816000000.0,LongTermDebtNoncurrent,65000000.0,CashAndCashEquivalentsAtCarryingValue,,0001091667-15-000049,10-K,2015-02-24,
"Charter Communications, Inc.",CHTR,0001091667,2013,Q2,2013-04-01,2013-06-30,1972000000.0,Revenues,234000000.0,OperatingIncomeLoss,12812000000.0,LongTermDebtNoncurrent,44000000.0,CashAndCashEquivalentsAtCarryingValue,,0001091667-15-000049,10-K,2015-02-24,
"Charter Communications, Inc.",CHTR,0001091667,2013,Q3,2013-07-01,2013-09-30,2118000000.0,Revenues,209000000.0,OperatingIncomeLoss,14306000000.0,LongTermDebtNoncurrent,41000000.0,CashAndCashEquivalentsAtCarryingValue,,0001091667-15-000049,10-K,2015-02-24,
"Charter Communications, Inc.",CHTR,0001091667,2013,Q4,2013-10-01,2013-12-31,2148000000.0,derived:FY(Revenues)-Q1-Q3,244000000.0,derived:FY(OperatingIncomeLoss)-Q1-Q3,14181000000.0,LongTermDebtNoncurrent,21000000.0,CashAndCashEquivalentsAtCarryingValue,,0001091667-16-000396,10-K,2016-02-10,
"Charter Communications, Inc.",CHTR,0001091667,2014,Q1,2014-01-01,2014-03-31,2202000000.0,Revenues,240000000.0,OperatingIncomeLoss,14090000000.0,LongTermDebtNoncurrent,4000000.0,CashAndCashEquivalentsAtCarryingValue,,0001091667-16-000396,10-K,2016-02-10,
